_time,value,device_identifier
2022-10-24T08:02:20Z,10,P1
2022-10-24T08:02:30Z,10,P1
2022-10-24T08:02:40Z,10,P1
2022-10-24T08:02:50Z,10,P1
2022-10-24T08:03:00Z,9.725,P1
2022-10-24T08:03:10Z,10,P1
2022-10-24T08:03:20Z,10,P1
2022-10-24T08:03:30Z,10,P1
2022-10-24T08:03:40Z,10,P1
2022-10-24T08:03:50Z,10,P1
2022-10-24T08:04:00Z,10,P1
2022-10-24T08:04:10Z,10,P1
2022-10-24T08:04:20Z,10,P1
2022-10-24T08:04:30Z,10,P1
2022-10-24T08:04:40Z,9.7,P1
2022-10-24T08:04:50Z,10,P1
2022-10-24T08:05:00Z,10,P1
2022-10-24T08:05:10Z,10,P1
2022-10-24T08:05:20Z,10,P1
2022-10-24T08:05:30Z,10,P1
2022-10-24T08:05:40Z,10,P1
2022-10-24T08:05:50Z,10,P1
2022-10-24T08:06:00Z,10,P1
2022-10-24T08:06:10Z,10,P1
2022-10-24T08:06:20Z,9.7,P1
2022-10-24T08:06:30Z,10,P1
2022-10-24T08:06:40Z,10,P1
2022-10-24T08:06:50Z,10,P1
2022-10-24T08:07:00Z,10,P1
2022-10-24T08:07:10Z,10,P1
2022-10-24T08:07:20Z,10,P1
2022-10-24T08:07:30Z,10,P1
2022-10-24T08:07:40Z,10,P1
2022-10-24T08:07:50Z,10,P1
2022-10-24T08:08:00Z,10,P1
2022-10-24T08:08:10Z,9.7,P1
2022-10-24T08:08:20Z,10,P1
2022-10-24T08:08:30Z,10,P1
2022-10-24T08:08:40Z,10,P1
2022-10-24T08:08:50Z,10,P1
2022-10-24T08:09:00Z,10,P1
2022-10-24T08:09:10Z,10,P1
2022-10-24T08:09:20Z,10,P1
2022-10-24T08:09:30Z,10,P1
2022-10-24T08:09:40Z,9.89361702127659,P1
2022-10-24T08:09:50Z,9.775,P1
2022-10-24T08:10:00Z,10,P1
2022-10-24T08:10:10Z,10,P1
2022-10-24T08:10:20Z,10,P1
2022-10-24T08:10:30Z,10,P1
2022-10-24T08:10:40Z,10,P1
2022-10-24T08:10:50Z,10,P1
2022-10-24T08:11:00Z,10,P1
2022-10-24T08:11:10Z,10,P1
2022-10-24T08:11:20Z,10,P1
2022-10-24T08:11:30Z,10,P1
2022-10-24T08:11:40Z,10,P1
2022-10-24T08:11:50Z,10,P1
2022-10-24T08:12:00Z,10,P1
2022-10-24T08:12:10Z,10,P1
2022-10-24T08:12:20Z,10,P1
2022-10-24T08:12:30Z,10,P1
2022-10-24T08:12:40Z,10,P1
2022-10-24T08:12:50Z,10,P1
2022-10-24T08:13:00Z,10,P1
2022-10-24T08:13:10Z,10,P1
2022-10-24T08:13:20Z,9.875,P1
2022-10-24T08:13:30Z,10,P1
2022-10-24T08:13:40Z,10,P1
2022-10-24T08:13:50Z,10,P1
2022-10-24T08:14:00Z,10,P1
2022-10-24T08:14:10Z,10,P1
2022-10-24T08:14:20Z,10,P1
2022-10-24T08:14:30Z,10,P1
2022-10-24T08:14:40Z,10,P1
2022-10-24T08:14:50Z,10,P1
2022-10-24T08:15:00Z,10,P1
2022-10-24T08:15:10Z,9.75,P1
2022-10-24T08:15:20Z,10,P1
2022-10-24T08:15:30Z,10,P1
2022-10-24T08:15:40Z,10,P1
2022-10-24T08:15:50Z,9.725,P1
2022-10-24T08:16:00Z,10,P1
2022-10-24T08:16:10Z,10,P1
2022-10-24T08:16:20Z,10,P1
2022-10-24T08:16:30Z,10,P1
2022-10-24T08:16:40Z,10,P1
2022-10-24T08:16:50Z,9.875,P1
2022-10-24T08:17:00Z,10,P1
2022-10-24T08:17:10Z,10,P1
2022-10-24T08:17:20Z,10,P1
2022-10-24T08:17:30Z,10,P1
2022-10-24T08:17:40Z,10,P1
2022-10-24T08:17:50Z,10,P1
2022-10-24T08:18:00Z,10,P1
2022-10-24T08:18:10Z,10,P1
2022-10-24T08:18:20Z,10,P1
2022-10-24T08:18:30Z,9.875,P1
2022-10-24T08:18:40Z,10,P1
2022-10-24T08:18:50Z,10,P1
2022-10-24T08:19:00Z,10,P1
2022-10-24T08:19:10Z,10,P1
2022-10-24T08:19:20Z,10,P1
2022-10-24T08:19:30Z,10,P1
2022-10-24T08:19:40Z,10,P1
2022-10-24T08:19:50Z,10,P1
2022-10-24T08:20:00Z,10,P1
2022-10-24T08:20:10Z,10,P1
2022-10-24T08:20:20Z,10,P1
2022-10-24T08:20:30Z,10,P1
2022-10-24T08:20:40Z,10,P1
2022-10-24T08:20:50Z,10,P1
2022-10-24T08:21:00Z,10,P1
2022-10-24T08:21:10Z,10,P1
2022-10-24T08:21:20Z,10,P1
2022-10-24T08:21:30Z,10,P1
2022-10-24T08:21:40Z,10,P1
2022-10-24T08:21:50Z,10,P1
2022-10-24T08:22:00Z,9.875,P1
2022-10-24T08:22:10Z,10,P1
2022-10-24T08:22:20Z,10,P1
2022-10-24T08:22:30Z,10,P1
2022-10-24T08:22:40Z,10,P1
2022-10-24T08:22:50Z,10,P1
2022-10-24T08:23:00Z,10,P1
2022-10-24T08:23:10Z,10,P1
2022-10-24T08:23:20Z,10,P1
2022-10-24T08:23:30Z,10,P1
2022-10-24T08:23:40Z,10,P1
2022-10-24T08:23:50Z,9.925,P1
2022-10-24T08:24:00Z,10,P1
2022-10-24T08:24:10Z,10,P1
2022-10-24T08:24:20Z,10,P1
2022-10-24T08:24:30Z,10,P1
2022-10-24T08:24:40Z,10,P1
2022-10-24T08:24:50Z,10,P1
2022-10-24T08:25:00Z,10,P1
2022-10-24T08:25:10Z,10,P1
2022-10-24T08:25:20Z,10,P1
2022-10-24T08:25:30Z,9.75,P1
2022-10-24T08:25:40Z,10,P1
2022-10-24T08:25:50Z,10,P1
2022-10-24T08:26:00Z,10,P1
2022-10-24T08:26:10Z,10,P1
2022-10-24T08:26:20Z,10,P1
2022-10-24T08:26:30Z,10,P1
2022-10-24T08:26:40Z,10,P1
2022-10-24T08:26:50Z,10,P1
2022-10-24T08:27:00Z,10,P1
2022-10-24T08:27:10Z,10,P1
2022-10-24T08:27:20Z,9.975,P1
2022-10-24T08:27:30Z,10,P1
2022-10-24T08:27:40Z,10,P1
2022-10-24T08:27:50Z,10,P1
2022-10-24T08:28:00Z,10,P1
2022-10-24T08:28:10Z,9.925,P1
2022-10-24T08:28:20Z,10,P1
2022-10-24T08:28:30Z,10,P1
2022-10-24T08:28:40Z,10,P1
2022-10-24T08:28:50Z,10,P1
2022-10-24T08:29:00Z,9.825,P1
2022-10-24T08:29:10Z,10,P1
2022-10-24T08:29:20Z,10,P1
2022-10-24T08:29:30Z,10,P1
2022-10-24T08:29:40Z,10,P1
2022-10-24T08:29:50Z,10,P1
2022-10-24T08:30:00Z,10,P1
2022-10-24T08:30:10Z,10,P1
2022-10-24T08:30:20Z,10,P1
2022-10-24T08:30:30Z,10,P1
2022-10-24T08:30:40Z,9.9,P1
2022-10-24T08:30:50Z,10,P1
2022-10-24T08:31:00Z,10,P1
2022-10-24T08:31:10Z,10,P1
2022-10-24T08:31:20Z,10,P1
2022-10-24T08:31:30Z,10,P1
2022-10-24T08:31:40Z,10,P1
2022-10-24T08:31:50Z,10,P1
2022-10-24T08:32:00Z,10,P1
2022-10-24T08:32:10Z,10,P1
2022-10-24T08:32:20Z,10,P1
2022-10-24T08:32:30Z,9.75,P1
2022-10-24T08:32:40Z,10,P1
2022-10-24T08:32:50Z,10,P1
2022-10-24T08:33:00Z,10,P1
2022-10-24T08:33:10Z,10,P1
2022-10-24T08:33:20Z,10,P1
2022-10-24T08:33:30Z,10,P1
2022-10-24T08:33:40Z,10,P1
2022-10-24T08:33:50Z,10,P1
2022-10-24T08:34:00Z,10,P1
2022-10-24T08:34:10Z,9.775,P1
2022-10-24T08:34:20Z,9.8,P1
2022-10-24T08:34:30Z,10,P1
2022-10-24T08:34:40Z,10,P1
2022-10-24T08:34:50Z,10,P1
2022-10-24T08:35:00Z,10,P1
2022-10-24T08:35:10Z,10,P1
2022-10-24T08:35:20Z,10,P1
2022-10-24T08:35:30Z,10,P1
2022-10-24T08:35:40Z,10,P1
2022-10-24T08:35:50Z,10,P1
2022-10-24T08:36:00Z,9.8,P1
2022-10-24T08:36:10Z,10,P1
2022-10-24T08:36:20Z,10,P1
2022-10-24T08:36:30Z,10,P1
2022-10-24T08:36:40Z,10,P1
2022-10-24T08:36:50Z,10,P1
2022-10-24T08:37:00Z,10,P1
2022-10-24T08:37:10Z,10,P1
2022-10-24T08:37:20Z,10,P1
2022-10-24T08:37:30Z,10,P1
2022-10-24T08:37:40Z,9.775,P1
2022-10-24T08:37:50Z,10,P1
2022-10-24T08:38:00Z,10,P1
2022-10-24T08:38:10Z,10,P1
2022-10-24T08:38:20Z,10,P1
2022-10-24T08:38:30Z,10,P1
2022-10-24T08:38:40Z,10,P1
2022-10-24T08:38:50Z,10,P1
2022-10-24T08:39:00Z,10,P1
2022-10-24T08:39:10Z,10,P1
2022-10-24T08:39:20Z,10,P1
2022-10-24T08:39:30Z,9.975,P1
2022-10-24T08:39:40Z,10,P1
2022-10-24T08:39:50Z,10,P1
2022-10-24T08:40:00Z,10,P1
2022-10-24T08:40:10Z,10,P1
2022-10-24T08:40:20Z,9.9,P1
2022-10-24T08:40:30Z,10,P1
2022-10-24T08:40:40Z,10,P1
2022-10-24T08:40:50Z,10,P1
2022-10-24T08:41:00Z,10,P1
2022-10-24T08:41:10Z,9.875,P1
2022-10-24T08:41:20Z,10,P1
2022-10-24T08:41:30Z,10,P1
2022-10-24T08:41:40Z,10,P1
2022-10-24T08:41:50Z,10,P1
2022-10-24T08:42:00Z,10,P1
2022-10-24T08:42:10Z,10,P1
2022-10-24T08:42:20Z,10,P1
2022-10-24T08:42:30Z,10,P1
2022-10-24T08:42:40Z,10,P1
2022-10-24T08:42:50Z,9.85,P1
2022-10-24T08:43:00Z,10,P1
2022-10-24T08:43:10Z,10,P1
2022-10-24T08:43:20Z,10,P1
2022-10-24T08:43:30Z,10,P1
2022-10-24T08:43:40Z,10,P1
2022-10-24T08:43:50Z,10,P1
